key;title;mdate;year;publtype;pages;url;ee;bookKey
reference/algo/Barbay15;Succinct and Compressed Data Structures for Permutations and Integer Functions.;2015-01-18;2015;encyclopedia entry;;db/reference/algo/algo2015.html#Barbay15;http://dx.doi.org/10.1007/978-3-642-27848-8_411-2;reference/algo/2015
reference/algo/McKay08;Graph Isomorphism.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#McKay08;http://dx.doi.org/10.1007/978-0-387-30162-4_172;reference/algo/2008
reference/algo/Konjevod08;Separators in Graphs.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#Konjevod08;http://dx.doi.org/10.1007/978-0-387-30162-4_362;reference/algo/2008
reference/algo/Amenta15;Surface Reconstruction.;2015-01-18;2015;encyclopedia entry;;db/reference/algo/algo2015.html#Amenta15;http://dx.doi.org/10.1007/978-3-642-27848-8_713-1;reference/algo/2015
reference/algo/X08at;Incremental Algorithms.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#X08at;http://dx.doi.org/10.1007/978-0-387-30162-4_186;reference/algo/2008
reference/algo/DemetrescuI08a;Single-Source Fully Dynamic Reachability.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#DemetrescuI08a;http://dx.doi.org/10.1007/978-0-387-30162-4_376;reference/algo/2008
reference/algo/Sahinalp08;Edit Distance Under Block Operations.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#Sahinalp08;http://dx.doi.org/10.1007/978-0-387-30162-4_122;reference/algo/2008
reference/algo/Ilie15;Regular Expression Matching.;2015-01-18;2015;encyclopedia entry;;db/reference/algo/algo2015.html#Ilie15;http://dx.doi.org/10.1007/978-3-642-27848-8_340-2;reference/algo/2015
reference/algo/Imreh15;Maximizing the Minimum Machine Load.;2015-01-18;2015;encyclopedia entry;;db/reference/algo/algo2015.html#Imreh15;http://dx.doi.org/10.1007/978-3-642-27848-8_503-1;reference/algo/2015
reference/algo/Chao08a;Maximum-scoring Segment with Length Restrictions.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#Chao08a;http://dx.doi.org/10.1007/978-0-387-30162-4_226;reference/algo/2008
reference/algo/X08aq;Graphs.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#X08aq;http://dx.doi.org/10.1007/978-0-387-30162-4_173;reference/algo/2008
reference/algo/Mertzios15a;Multitolerance Graphs.;2015-01-18;2015;encyclopedia entry;;db/reference/algo/algo2015.html#Mertzios15a;http://dx.doi.org/10.1007/978-3-642-27848-8_684-1;reference/algo/2015
