;inproceedings_dblp100;mdate;key;author;author.1;author2;title;pages;year;booktitle;__len;crossref;url;ee;author3;author4;author5;number;author6;author7;author8
1288;1311.0;2013-06-05;journals/procedia/YangHCW12;Wei Yang;Ai Han;Kuo Cai;ACIX Model with Interval Dummy Variables and Its Application in Forecasting Interval-valued Crude Oil Prices.;1273-1282;2012.0;ICCS;1613.0;conf/iccS/2012;db/journals/procedia/procedia9.html#YangHCW12;http://dx.doi.org/10.1016/j.procs.2012.04.139;Shouyang Wang;;;;;;3625
1289;1312.0;2013-06-17;journals/procedia/ValerdiMVH13;Ricardo Valerdi;Jose Monreal Jr.;Daniel Valenzuela 0002;Measures of Effectiveness for S.T.E.M. Program: The Arizona Science of Baseball.;1053-1061;2013.0;CSER;1613.0;conf/cser/2013;db/journals/procedia/procedia16.html#ValerdiMVH13;http://dx.doi.org/10.1016/j.procs.2013.01.111;Kenji Hernandez;;;;;;3626
1291;1314.0;2013-07-10;journals/procedia/CasadoTY12;Ruben Casado;Javier Tuya;Muhammad Younas;A Family of Test Criteria for Web Services Transactions.;880-887;2012.0;ANT/MobiWIS;1613.0;conf/ant/2012;db/journals/procedia/procedia10.html#CasadoTY12;http://dx.doi.org/10.1016/j.procs.2012.06.116;;;;;;;3625
1293;1316.0;2013-06-05;journals/procedia/ThaherT11;Mohammed Thaher;Tadao Takaoka;;An efficient algorithm for computing the K-overlapping maximum convex sum problem.;1288-1295;2011.0;ICCS;1613.0;conf/iccS/2011;db/journals/procedia/procedia4.html#ThaherT11;http://dx.doi.org/10.1016/j.procs.2011.04.139;;;;;;;3624
1294;1317.0;2013-06-05;journals/procedia/MotokiN11;Shinji Motoki;Atsushi Nakamura;;Lattice gauge theory on a multi-core processor, Cell/B.E.;860-868;2011.0;ICCS;1613.0;conf/iccS/2011;db/journals/procedia/procedia4.html#MotokiN11;http://dx.doi.org/10.1016/j.procs.2011.04.091;;;;;;;3624
1295;1318.0;2014-01-30;journals/procedia/LandFPMHHEQY11;Walker H. Land Jr.;William S. Ford;Jin-Woo Park;Partial Least Squares (PLS) Applied to Medical Bioinformatics.;273-278;2011.0;Complex Adaptive Systems;1613.0;conf/complexsystems/2011;db/journals/procedia/procedia6.html#LandFPMHHEQY11;http://dx.doi.org/10.1016/j.procs.2011.08.051;Ravi Mathur;Nathan Hotchkiss;John J. Heine;;Steven Eschrich;Xingye Qiao;3624
1296;1319.0;2013-07-10;journals/procedia/ShakshukiY12;Elhadi Shakshuki;Muhammad Younas;;Preface.;1-8;2012.0;ANT/MobiWIS;1613.0;conf/ant/2012;db/journals/procedia/procedia10.html#ShakshukiY12;http://dx.doi.org/10.1016/j.procs.2012.06.002;;;;;;;3625
1299;1322.0;2013-06-05;journals/procedia/SimionRB12;Bogdan Simion;Suprio Ray;Angela Demke Brown;Speeding up Spatial Database Query Execution using GPUs.;1870-1879;2012.0;ICCS;1613.0;conf/iccS/2012;db/journals/procedia/procedia9.html#SimionRB12;http://dx.doi.org/10.1016/j.procs.2012.04.205;;;;;;;3625
1300;1323.0;2013-07-10;journals/procedia/ZhangH12;Li Zhang;M. Alamgir Hossain;;Semantic-inspired Contextual Affect Detection from Drama Improvisation.;292-299;2012.0;ANT/MobiWIS;1613.0;conf/ant/2012;db/journals/procedia/procedia10.html#ZhangH12;http://dx.doi.org/10.1016/j.procs.2012.06.039;;;;;;;3625
1302;1325.0;2013-06-05;journals/procedia/AlexandrovMS11;Vassil N. Alexandrov;Christian González Martel;Janko Straßburg;Monte Carlo scalable algorithms for Computational Finance.;1708-1715;2011.0;ICCS;1613.0;conf/iccS/2011;db/journals/procedia/procedia4.html#AlexandrovMS11;http://dx.doi.org/10.1016/j.procs.2011.04.185;;;;;;;3624
1303;1326.0;2013-07-10;journals/procedia/LiangWCZ12;Xiaolin Liang;Wencen Wu;Dongsik Chang;Real-time Modelling of Tidal Current for Navigating Underwater Glider Sensing Networks.;1121-1126;2012.0;ANT/MobiWIS;1613.0;conf/ant/2012;db/journals/procedia/procedia10.html#LiangWCZ12;http://dx.doi.org/10.1016/j.procs.2012.06.159;Fumin Zhang;;;;;;3625
1304;1327.0;2013-07-10;journals/procedia/ElgazzarAMH12;Khalid Elgazzar;Muhammad AboElFotoh;Patrick Martin;Ubiquitous Health Monitoring Using Mobile Web Services.;332-339;2012.0;ANT/MobiWIS;1613.0;conf/ant/2012;db/journals/procedia/procedia10.html#ElgazzarAMH12;http://dx.doi.org/10.1016/j.procs.2012.06.044;Hossam S. Hassanein;;;;;;3625
1305;1328.0;2013-06-17;journals/procedia/Colombi12;John M. Colombi;;;Preface to Part II Systems Architecting.;133-134;2012.0;CSER;1613.0;conf/cser/2012;db/journals/procedia/procedia8.html#Colombi12;http://dx.doi.org/10.1016/j.procs.2012.01.028;;;;;;;3625
